id,from_id,from_circuit,to_id,to_circuit,distance_km,transport_mode,needs_air,truck_distance_km,truck_viable,truck_emissions,air_emissions
1758,38,Mugello,19,Istanbul,1513.8914160055435,,1,,,,635834.3947223282
1759,38,Mugello,20,Magny Cours,715.0235416334391,,0,952.98,1.0,40025.16,300309.88748604443
1760,38,Mugello,21,Spa-Francorchamps,823.6494557720574,,0,1077.14,1.0,45239.88,345932.7714242641
1761,38,Mugello,22,Sochi,2287.31925659821,,0,4498.95,1.0,188955.9,960674.0877712482
1762,38,Mugello,23,Indianapolis,7583.12750027258,,1,,,,3184913.5501144836
1763,38,Mugello,24,Jeddah,3559.2540169551153,,1,,,,1494886.6871211485
1764,38,Mugello,25,Zandvoort,1060.5202281563957,,0,1399.6,1.0,58783.2,445418.4958256862
1765,38,Mugello,26,Valencia,1093.1410946233332,,0,1451.12,1.0,60947.04,459119.2597417999
1766,38,Mugello,27,Le Castellet,456.7424207124998,,0,630.62,1.0,26486.04,191831.8166992499
1767,38,Mugello,28,Lusail,4144.371900519459,,1,,,,1740636.1982181729
1768,38,Mugello,29,Yeongam County,9077.222199812393,,1,,0.0,,3812433.3239212055
1769,38,Mugello,30,Miami,8160.569653876753,,1,,,,3427439.2546282364
1770,38,Mugello,31,Uttar Pradesh,6020.868259178278,,1,,,,2528764.668854877
1771,38,Mugello,32,Monte Carlo,318.12663792190676,,0,432.43,1.0,18162.06,133613.18792720084
1772,38,Mugello,33,Las Vegas,9596.79646971111,,1,,,,4030654.517278666
1773,38,Mugello,34,Portimão,1842.1579918501156,,0,2357.93,1.0,99033.06,773706.3565770485
1774,38,Mugello,35,Oyama,9723.575965641416,,1,,,,4083901.905569395
1775,38,Mugello,36,Nürburgring,779.778751422711,,0,1031.94,1.0,43341.48,327507.0755975387
1776,38,Mugello,37,Yas Marina,4460.490235334928,,1,,,,1873405.8988406698
1777,38,Mugello,39,Cape Town,8693.206829288982,,1,,0.0,,3651146.8683013725
1778,38,Mugello,40,Seoul,8873.42346808121,,1,,0.0,,3726837.856594108
1779,38,Mugello,41,Buenos Aires,11222.684455194305,,1,,,,4713527.471181608
1780,38,Mugello,42,Chicago,7524.934014768644,,1,,,,3160472.2862028307
1781,38,Mugello,43,Auckland,18404.285321061314,,1,,,,7729799.8348457515
